ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
REMGRO,"236,708","95,411","50,316","281,803",ZAR,"2,315,693.24 0.06"
SANLAM,"806,681","190,055","81,807","914,929",ZAR,"3,402,893.88 0.09"
SASOL,"279,435","55,603","58,297","276,741",ZAR,"4,490,972.45 0.12"
SHOPRITE HOLDINGS,"255,087","30,112","37,628","247,571",ZAR,"3,240,139.81 0.08"
SIBANYE STILLWATER,"1,057,736","425,215","186,357","1,296,594",ZAR,"3,988,895.15 0.10"
SPAR GROUP,"102,591","34,157","26,048","110,700",ZAR,"1,159,159.42 0.03"
STANDARD BANK GROUP,"640,950","125,340","114,445","651,845",ZAR,"5,718,347.12 0.15"
TIGER BRANDS,"86,664","22,077","21,687","87,054",ZAR,"987,266.56 0.03"
VODACOM GROUP,"335,390","42,402","41,791","336,001",ZAR,"2,834,113.75 0.07"
WOOLWORTHS HOLDINGS (STH AFRICA),"520,252","113,930","94,440","539,742",ZAR,"1,753,823.35 0.05"
"",,,,,,
"",,,,,,"117,272,645.45 3.07"
ARABIE SAOUDITE / SAUDI-ARABIEN,,,,,,
ABDULLAH AL OTHAIM MARKETS,"23,478",0,0,"23,478",SAR,"676,624.66 0.02"
ADVANCED PETROCHEMICAL,"54,456",0,0,"54,456",SAR,"1,021,122.53 0.03"
AL RAJHI BANK,"588,842","75,502","73,197","591,147",SAR,"22,327,041.61 0.58"
ALINMA BANK,"437,872","55,552",0,"493,424",SAR,"3,148,955.65 0.08"
ALMARAI,"107,598",0,0,"107,598",SAR,"1,397,134.70 0.04"
ARAB NATIONAL BANK,"315,021","57,087","64,245","307,863",SAR,"1,874,533.41 0.05"
BANK ALBILAD,"152,339","103,800","75,393","180,746",SAR,"2,231,402.39 0.06"
BANK ALJAZIRA,"212,222",0,0,"212,222",SAR,"1,090,955.84 0.03"
BANQUE SAUDI FRANSI,"285,746","95,695","104,980","276,461",SAR,"3,479,326.21 0.09"
BUPA ARABIA COOPERATIVE INSURANCE,"32,392","7,861","10,939","29,314",SAR,"1,025,958.77 0.03"
COMPANY FOR COOPERATIVE INSURANCE,"33,238","17,299","13,936","36,601",SAR,"755,534.18 0.02"
DAR AL ARKAN REAL ESTATE DEVELOP.,"293,988",0,0,"293,988",SAR,"787,747.52 0.02"
DR. SULAIMAN AL-HABIB MEDICAL SERVI,"24,536",0,0,"24,536",SAR,"1,054,791.82 0.03"
EMAAR THE ECONOMIC CITY,"188,139",0,0,"188,139",SAR,"598,332.54 0.02"
ETIHAD ETISALAT,"198,072","42,355","44,894","195,533",SAR,"1,622,323.94 0.04"
JARIR MARKETING,"25,240",0,0,"25,240",SAR,"1,323,042.84 0.03"
MOBILE TELECOMMUNICATIONS CO SAUDI,"197,390",0,0,"197,390",SAR,"633,010.76 0.02"
MOUWASAT MEDICAL SERVICES,0,"28,065",0,"28,065",SAR,"1,299,194.82 0.03"
NATIONAL INDUSTRIALIZATION COMPANY,"177,491","59,038","57,123","179,406",SAR,"953,799.22 0.02"
NATIONAL PETROCHEMICAL COMPANY,0,"55,503",0,"55,503",SAR,"591,338.17 0.02"
RABIGH REFINING & PETROCHEMICAL,"103,723",0,0,"103,723",SAR,"571,879.96 0.01"
RIYAD BANK,"641,831","47,487","53,749","635,569",SAR,"4,587,662.47 0.12"
SABIC AGRI-NUTRIENTS,"91,112","7,797",0,"98,909",SAR,"4,652,495.60 0.12"
SAHARA INTER. PETRO. COMPANY,"180,411","30,009","43,485","166,935",SAR,"1,867,480.83 0.05"
SAMBA FINANCIAL GROUP,"491,108",0,"491,108",0,SAR,0.00 0.00
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
SAUDI AIRLINES CATERING,"17,550",0,"17,550",0,SAR,0.00 0.00
SAUDI ARABIAN MINING,"192,983","18,624",0,"211,607",SAR,"4,424,448.54 0.12"
SAUDI ARABIAN OIL,"1,064,999","74,666","75,018","1,064,647",SAR,"10,151,918.50 0.27"
SAUDI BASIC INDUSTRIES,"434,424","33,364","34,723","433,065",SAR,"13,380,444.35 0.35"
SAUDI BRITISH BANK,"377,643",0,0,"377,643",SAR,"3,319,363.70 0.09"
SAUDI CEMENT,"38,975",0,0,"38,975",SAR,"568,887.18 0.01"
SAUDI ELECTRICITY,"363,900","113,978","60,660","417,218",SAR,"2,664,843.30 0.07"
SAUDI INDUSTRIAL INVESTMENT GROUP,"116,421","40,276","38,785","117,912",SAR,"978,307.80 0.03"
SAUDI KAYAN PETROCHEMICAL,"402,575",0,"90,813","311,762",SAR,"1,413,325.50 0.04"
SAUDI TELECOM,"282,211","35,310","33,820","283,701",SAR,"8,493,498.98 0.22"
SAVOLA,"135,471","30,743","33,745","132,469",SAR,"1,127,313.17 0.03"
THE SAUDI NATIONAL BANK,"711,988","437,487","101,602","1,047,873",SAR,"17,974,382.47 0.47"
THE SAUDI NATL BANK -PROV-,0,"332,507","332,507",0,SAR,0.00 0.00
YANBU NATIONAL PETROCHEMICAL,"117,655",0,0,"117,655",SAR,"2,152,913.53 0.06"
"",,,,,,
"",,,,,,"126,221,337.46 3.31"
ARGENTINE / ARGENTINIEN,,,,,,
TELECOM ARGENTINA 'B'-ADR SPONS.-,"49,127",0,"49,127",0,USD,0.00 0.00
YPF YACIMIENTOS PET.-ADR SPONS.-'D',"90,146",0,"90,146",0,USD,0.00 0.00
"",,,,,,
"",,,,,,0.00 0.00
BERMUDES / BERMUDAS,,,,,,
ALIBABA HEALTH INFO. TECHNOLOGY,"1,976,000",0,"102,000","1,874,000",HKD,"1,584,047.37 0.04"
ALIBABA PICTURES GROUP,"5,070,000",0,0,"5,070,000",HKD,"461,720.84 0.01"
BEIJING ENTERPRISES WATER GROUP,"2,762,000","914,000",0,"3,676,000",HKD,"1,428,667.93 0.04"
BRILLIANCE CHINA AUTOMOTIVE HOLD.,"1,616,000",0,0,"1,616,000",HKD,"777,328.01 0.02"
CHINA GAS HOLDINGS,"1,245,200","575,600","111,000","1,709,800",HKD,"3,552,822.35 0.09"
CHINA RESOURCES GAS GROUP,"482,000","262,000","202,000","542,000",HKD,"3,062,374.95 0.08"
CHINA YOUZAN,"7,540,000",0,"7,540,000",0,HKD,0.00 0.00
CHINA YOUZAN,0,"7,540,000","1,074,895","6,465,105",HKD,"447,798.37 0.01"
COSCO SHIPPING PORTS,"954,004",0,0,"954,004",HKD,"828,422.77 0.02"
CREDICORP,"33,100",0,"2,300","30,800",USD,"3,759,756.00 0.10"
GOME RETAIL HOLDING,"5,503,260","2,266,000","1,429,000","6,340,260",HKD,"536,740.25 0.01"
HENGTEN NETWORKS GROUP,0,"1,328,000",0,"1,328,000",HKD,"502,496.75 0.01"
HOPSON DEVELOPMENT HGS,0,"312,400",0,"312,400",HKD,"651,545.47 0.02"
HOPSON DEVELOPMENT HGS -PROV-,0,"28,400","28,400",0,HKD,0.00 0.00
HOPSON DEVELOPMENT HOLDINGS,"284,000",0,"284,000",0,HKD,0.00 0.00
HUABAO INTERNATIONAL HOLDINGS,0,"406,000",0,"406,000",HKD,"749,897.13 0.02"
KUNLUN ENERGY,"1,922,000","376,000",0,"2,298,000",HKD,"2,154,669.01 0.06"
LUYE PHARMA GROUP,"724,000",0,"724,000",0,HKD,0.00 0.00
NINE DRAGONS PAPER,"693,000",0,0,"693,000",HKD,"743,998.15 0.02"
SHENZHEN INTERNATIONAL,"546,000",0,0,"546,000",HKD,"567,271.32 0.01"
"",,,,,,
"",,,,,,"21,809,556.67 0.57"
BRESIL / BRASILIEN,,,,,,
ALPARGATAS PFD,"44,500","46,400",0,"90,900",BRL,"604,150.46 0.02"
AMBEV,"2,286,970","245,000","226,100","2,305,870",BRL,"6,383,575.57 0.17"
AMERICANAS,0,"211,149",0,"211,149",BRL,"1,197,142.82 0.03"
AMERICANAS -PROV-,0,"70,754","70,754",0,BRL,0.00 0.00
ATACADAO,"205,800",0,0,"205,800",BRL,"563,456.02 0.01"
B2W COMPANHIA DIGITAL,"118,395","70,754","189,149",0,BRL,0.00 0.00
B3 - BRASIL BOLSA BALCAO,"993,885","2,943,655","993,885","2,943,655",BRL,"5,887,310.09 0.15"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
B3 - BRASIL BOLSA BALCAO -PROV-,0,"2,777,655","2,777,655",0,BRL,0.00 0.00
BANCO BRADESCO,"608,644","60,864",0,"669,508",BRL,"1,946,020.59 0.05"
BANCO BRADESCO PFD,"2,132,986","469,118","229,100","2,373,004",BRL,"8,184,094.70 0.21"
BANCO BRADESCO PFD -PROV-,0,"205,918","205,918",0,BRL,0.00 0.00
BANCO BRADESCO -PROV-,0,"60,864","60,864",0,BRL,0.00 0.00
BANCO DO BRASIL,"391,100","103,800","55,100","439,800",BRL,"2,277,958.74 0.06"
BANCO INTER -UNITS-PFD-,0,"170,300","28,400","141,900",BRL,"727,842.56 0.02"
BB SEGURIDADE PARTICIPACOES,"302,800",0,0,"302,800",BRL,"1,128,025.15 0.03"
BCO BTG PACT. (1SH+2PFDA) -PROV-,0,"458,000","458,000",0,BRL,0.00 0.00
BCO BTG PACTUAL (1SH+2PFDA) -UNITS-,"117,800","535,200","133,100","519,900",BRL,"1,960,125.70 0.05"
BCO SANTANDER BR(1 ORD+1 PFD)-UNIT-,"217,600","156,600","146,200","228,000",BRL,"1,227,188.53 0.03"
BRADESPAR PFD,"99,600","12,895","112,495",0,BRL,0.00 0.00
BRASKEM PFD 'A',0,"139,000","30,900","108,100",BRL,"1,118,456.57 0.03"
BRF,"299,000","61,800","89,500","271,300",BRL,"1,096,889.78 0.03"
CEMIG MINAS GERAIS PFD,"500,003","216,230","282,100","434,133",BRL,"1,021,810.36 0.03"
CEMIG MINAS GERAIS PFD -PROV-,0,"59,830","59,830",0,BRL,0.00 0.00
CIA BRASILEIRA DE DISTRIBUICAO,"84,620",0,"84,620",0,BRL,0.00 0.00
CIA DE CONCESSOES RODOVIARIAS,"639,700","167,300","149,700","657,300",BRL,"1,367,703.25 0.04"
COPEL-PARANAENSE EN.- PFD'B'-PROV-,0,"570,000","570,000",0,BRL,0.00 0.00
COPEL-PARANAENSE ENERGIA- PFD 'B',"57,000","570,000","627,000",0,BRL,0.00 0.00
COSAN,"83,800","536,800","105,500","515,100",BRL,"2,005,838.27 0.05"
COSAN -PROV-,0,"422,000","422,000",0,BRL,0.00 0.00
CPFL ENERGIA,"110,800",0,"110,800",0,BRL,0.00 0.00
ELETROBRAS -CENTRAIS ELET.BRASIL-,"141,100",0,0,"141,100",BRL,"846,346.69 0.02"
ELETROBRAS PFD 'B',"125,000",0,0,"125,000",BRL,"740,798.93 0.02"
ENERGISA (1 SH + 4 PFD) -UNITS-,"94,792",0,0,"94,792",BRL,"755,102.53 0.02"
ENGIE BRASIL,"108,275",0,0,"108,275",BRL,"746,650.41 0.02"
EQUATORIAL ENERGIA,"447,500","85,900","71,000","462,400",BRL,"1,876,995.36 0.05"
GERDAU PFD,"493,400","141,500","75,200","559,700",BRL,"2,739,214.04 0.07"
GETNET ADQ SERV -PROV-,0,"42,675","42,675",0,BRL,0.00 0.00
GETNET ADQ.SERV.(1SH+1PFD),0,"42,675","42,675",0,BRL,0.00 0.00
HAPVIDA PARTICIPACOES E INVEST.,"548,550",0,0,"548,550",BRL,"1,022,252.98 0.03"
HYPERA,"198,200","70,000","57,200","211,000",BRL,"1,070,910.25 0.03"
ITAUSA INVESTIMEN ITAU PFD -PROV-,0,"101,319","101,319",0,BRL,0.00 0.00
ITAUSA INVESTIMENTOS ITAU PFD,"2,065,193","405,219","342,700","2,127,712",BRL,"3,411,215.16 0.09"
ITAUUNIBANCO PFD,"2,358,868","238,800","264,300","2,333,368",BRL,"8,776,312.44 0.23"
JBS,"497,200","56,900","114,800","439,300",BRL,"2,993,076.35 0.08"
KLABIN (1 SH + 4 PFD),"330,600",0,0,"330,600",BRL,"1,523,015.46 0.04"
LOCALIZA RENT A CAR,"281,842",0,0,"281,842",BRL,"2,681,800.04 0.07"
LOJAS AMERICANAS PFD,"454,892","4,686","459,578",0,BRL,0.00 0.00
LOJAS AMERICANAS -PFD-,0,"4,686","4,686",0,BRL,0.00 0.00
LOJAS AMERICANAS PFD -PROV-,0,"4,686","4,686",0,BRL,0.00 0.00
LOJAS RENNER,"381,353","165,985","63,600","483,738",BRL,"2,122,541.63 0.06"
LOJAS RENNER -PROV-,0,"42,285","42,285",0,BRL,0.00 0.00
MAGAZINE LUIZA,"1,390,100","321,800","169,200","1,542,700",BRL,"1,999,693.75 0.05"
MULTIPLAN EMPREENDIMENTOS IMO.,"157,076",0,"157,076",0,BRL,0.00 0.00
NATURA & CO HOLDING,"407,357","37,186","38,245","406,298",BRL,"1,854,965.58 0.05"
NOTRE DAME INTERM. PARTICIPACOES,"240,958",0,0,"240,958",BRL,"2,610,738.87 0.07"
PETROBRAS BR -PROV-,0,"521,811","521,811",0,BRL,0.00 0.00
PETROBRAS DISTRIBUIDORA,"377,018","144,793","521,811",0,BRL,0.00 0.00
PETROBRAS PETROLEO BRASILEIRO,"1,774,679","191,000","207,700","1,757,979",BRL,"9,689,399.66 0.25"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
PETROBRAS PETROLEO BRASILEIRO PFD,"2,293,514","138,900","139,800","2,292,614",BRL,"11,710,030.39 0.31"
RAIA DROGASIL NM,"526,500","153,800","148,700","531,600",BRL,"2,319,188.54 0.06"
REDE D'OR SAO LUIZ,0,"212,900",0,"212,900",BRL,"1,713,520.13 0.04"
RUMO,"611,100",0,0,"611,100",BRL,"1,948,498.41 0.05"
SABESP,"179,100","101,100","92,500","187,700",BRL,"1,354,001.10 0.04"
SIDERURGICA NACIONAL,"342,600",0,"41,000","301,600",BRL,"1,353,138.98 0.04"
SUL AMERICA (1 SH + 2 PFD) -UNITS-,"160,366","6,884","167,250",0,BRL,0.00 0.00
SUZANO,"378,773","65,200","91,800","352,173",BRL,"3,800,560.03 0.10"
TELEFONICA BRASIL,"196,797","38,500",0,"235,297",BRL,"2,035,720.39 0.05"
TIM,"438,797",0,0,"438,797",BRL,"1,035,939.07 0.03"
TOTVS,"212,400","62,500",0,"274,900",BRL,"1,413,489.43 0.04"
ULTRAPAR PARTICIPACOES,"383,100",0,0,"383,100",BRL,"1,000,049.21 0.03"
VALE,"1,785,707","410,190","203,400","1,992,497",BRL,"27,887,804.02 0.73"
VALE -PROV-,0,"37,390","37,390",0,BRL,0.00 0.00
VIA,0,"571,191",0,"571,191",BRL,"538,375.73 0.01"
VIA VAREJO,"571,191",0,"571,191",0,BRL,0.00 0.00
VIBRA ENERGIA,0,"521,811",0,"521,811",BRL,"2,004,803.51 0.05"
WEG,"417,794","846,288","469,194","794,888",BRL,"4,706,536.20 0.12"
WEG -PROV-,0,"741,388","741,388",0,BRL,0.00 0.00
XP,0,"49,855","49,855",0,BRL,0.00 0.00
XP -PROV-,0,"49,855","49,855",0,BRL,0.00 0.00
"",,,,,,
"",,,,,,"150,980,274.43 3.95"
CHILI / CHILE,,,,,,
BANCO DE CHILE,"20,033,770",0,0,"20,033,770",CLP,"1,565,072.35 0.04"
BANCO DE CREDITO E INVER -PROV-,0,"1,024","1,024",0,CLP,0.00 0.00
BANCO DE CREDITO E INVERSIONES,"27,545","9,731","14,832","22,444",CLP,"655,667.38 0.02"
BANCO SANTANDER CHILE,"34,474,877","7,445,129","6,416,369","35,503,637",CLP,"1,427,223.02 0.04"
CENCOSUD,"562,769","400,128","181,018","781,879",CLP,"1,307,714.19 0.03"
CENCOSUD SHOPPING,"194,420",0,"194,420",0,CLP,0.00 0.00
CERVECERIAS UNIDAS,"80,692",0,0,"80,692",CLP,"656,329.82 0.02"
COLBUN,"3,768,374","2,166,383","5,934,757",0,CLP,0.00 0.00
EMBOTELLADORA ANDINA PRIV. 'B',"198,212",0,"198,212",0,CLP,0.00 0.00
EMPRESAS CMPC,"608,063",0,"115,083","492,980",CLP,"826,258.48 0.02"
EMPRESAS COPEC,"205,806",0,"30,041","175,765",CLP,"1,358,665.50 0.04"
ENEL AMERICAS,"15,961,868",0,"6,013,795","9,948,073",CLP,"1,085,876.25 0.03"
ENEL CHILE,"14,597,719",0,0,"14,597,719",CLP,"510,575.16 0.01"
FALABELLA,"391,010","115,172","88,570","417,612",CLP,"1,362,134.33 0.04"
SOC.QUIMICA Y MINERA PRIV. 'B',"52,322","15,721",0,"68,043",CLP,"3,473,132.06 0.09"
SOC.QUIMICA Y MINERA PRIV. 'B',0,"9,754","9,754",0,USD,0.00 0.00
"",,,,,,
"",,,,,,"14,228,648.54 0.37"
CHINE / CHINA,,,,,,
360 SECURITY TECHNOLOGY 'A',"164,800",0,0,"164,800",CNY,"328,908.47 0.01"
ACCELINK TECHNOLOGIES CO 'A',"24,600",0,"24,600",0,CNY,0.00 0.00
ADVANCED MICRO-FABRICATION 'A',0,"13,063",0,"13,063",CNY,"259,482.08 0.01"
AECC AERO-ENGINE CONTROL 'A',"53,800",0,0,"53,800",CNY,"255,604.73 0.01"
AECC AVIATION POWER 'A',0,"81,100",0,"81,100",CNY,"807,516.97 0.02"
AGRICULTURAL BANK OF CHINA 'A',"2,250,700",0,0,"2,250,700",CNY,"1,038,235.03 0.03"
AGRICULTURAL BANK OF CHINA 'H',"13,696,000","1,023,000","1,773,000","12,946,000",HKD,"4,450,241.31 0.12"
AIER EYE HOSPITAL GROUP 'A',"137,696","31,940","30,000","139,636",CNY,"926,324.42 0.02"
AIR CHINA 'A',"101,600",0,0,"101,600",CNY,"145,544.31 0.00"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
AIR CHINA 'H',"1,022,000",0,0,"1,022,000",HKD,"713,120.56 0.02"
A-LIVING SMART CITY SER. 'H' 144A/S,"201,250","80,500",0,"281,750",HKD,"480,649.76 0.01"
ALUMINUM CORPORATION 'A',"486,400",0,0,"486,400",CNY,"464,773.75 0.01"
ALUMINUM CORPORATION OF CHINA 'H',"2,350,000",0,"700,000","1,650,000",HKD,"912,167.05 0.02"
ANGEL YEAST 'A',"22,800",0,0,"22,800",CNY,"215,930.91 0.01"
ANHUI CONCH CEMENT 'A',"131,900",0,0,"131,900",CNY,"834,027.90 0.02"
ANHUI CONCH CEMENT 'H',"606,500","69,500","56,500","619,500",HKD,"3,095,009.15 0.08"
ANHUI GUJING DISTILLERY 'A',"12,600",0,0,"12,600",CNY,"482,382.01 0.01"
ANHUI GUJING DISTILLERY 'B',"45,200",0,0,"45,200",HKD,"643,538.57 0.02"
ANHUI KOUZI DISTILLERY 'A',"13,200",0,0,"13,200",CNY,"146,780.07 0.00"
ANHUI YINGJIA DISTILLERY CO 'A',0,"33,600",0,"33,600",CNY,"366,135.86 0.01"
APELOA PHARMACEUTICAL CO 'A',0,"56,300",0,"56,300",CNY,"309,972.02 0.01"
ASYMCHEM LABORATORIES 'A',"5,400",0,0,"5,400",CNY,"368,564.71 0.01"
AUTEL INTELL 'A',0,"27,437",0,"27,437",CNY,"341,812.44 0.01"
AUTOBIO DIAGNOSTICS 'A',"7,200","2,160",0,"9,360",CNY,"80,861.69 0.00"
AVARY HOLDING 'A',0,"65,600",0,"65,600",CNY,"436,724.55 0.01"
AVIC AIRCRAFT 'A',0,"53,200","53,200",0,CNY,0.00 0.00
AVIC AVIATION HIGH-TECH. 'A',0,"74,600","74,600",0,CNY,0.00 0.00
AVIC ELECTROMECHANICAL SYSTEMS 'A',0,"173,400",0,"173,400",CNY,"494,622.32 0.01"
AVIC IND. FIN. 'A',"192,700",0,0,"192,700",CNY,"120,033.63 0.00"
AVIC JOHNSON OPTRONIC TECHNOLOGY'A',"35,200",0,"35,200",0,CNY,0.00 0.00
AVIC SHENYANG AIRCRAFT 'A',0,"33,180","33,180",0,CNY,0.00 0.00
AVICHINA INDUSTRY & TECHNOLOG.'H',"634,000","417,000","1,051,000",0,HKD,0.00 0.00
AVICOPTER 'A',0,"31,700",0,"31,700",CNY,"399,397.68 0.01"
BANK OF BEIJING 'A',"652,300",0,0,"652,300",CNY,"454,423.82 0.01"
BANK OF CHENGDU 'A',"83,600",0,0,"83,600",CNY,"157,404.90 0.00"
BANK OF CHINA 'A',"925,300",0,0,"925,300",CNY,"442,805.63 0.01"
BANK OF CHINA 'H',"38,519,000","3,972,000","3,813,000","38,678,000",HKD,"13,940,665.08 0.37"
BANK OF COMMUNICATIONS 'A',"1,202,900",0,0,"1,202,900",CNY,"870,084.01 0.02"
BANK OF COMMUNICATIONS 'H',"3,957,531",0,0,"3,957,531",HKD,"2,390,883.40 0.06"
BANK OF HANGZHOU 'A',"179,300",0,0,"179,300",CNY,"360,660.89 0.01"
BANK OF JIANGSU 'A',"450,710",0,0,"450,710",CNY,"412,284.00 0.01"
BANK OF NANJING 'A',"290,400",0,0,"290,400",CNY,"408,258.61 0.01"
BANK OF NINGBO 'A',"173,700","17,370",0,"191,070",CNY,"1,147,612.23 0.03"
BANK OF SHANGHAI 'A',"462,482",0,0,"462,482",CNY,"517,386.51 0.01"
BAOSHAN IRON & STEEL 'A',"563,400",0,0,"563,400",CNY,"632,937.17 0.02"
BBMG CORP 'A',"220,300",0,0,"220,300",CNY,"98,166.56 0.00"
BEIJING CAP INTERNATIONAL AIR.'H',"992,000",0,0,"992,000",HKD,"606,936.44 0.02"
BEIJING DABEINONG TECHNOLOGY GRP'A',"164,300",0,0,"164,300",CNY,"270,423.10 0.01"
BEIJING EASPRING MAT. TECHNO. 'A',0,"21,657",0,"21,657",CNY,"295,188.11 0.01"
BEIJING ENLIGHT MEDIA 'A',"70,100",0,0,"70,100",CNY,"141,335.70 0.00"
BEIJING KINGSOFT OFFICE 688111 'A',0,"8,878",0,"8,878",CNY,"369,140.55 0.01"
BEIJING NEW BUILDING MATERIALS 'A',"64,600",0,0,"64,600",CNY,"363,170.08 0.01"
BEIJING ORIENTAL YUHONG WATER 'A',"44,100",0,"44,100",0,CNY,0.00 0.00
BEIJING ORIGINWATER TECH. 'A',"94,600",0,0,"94,600",CNY,"106,721.22 0.00"
BEIJING ROBOROCK TECHNOLOGY 'A',0,"2,749",0,"2,749",CNY,"350,667.91 0.01"
BEIJING SHIJI INFO. TECH. 'A',"18,100","7,240",0,"25,340",CNY,"114,267.86 0.00"
BEIJING SHUNXIN AGRICULTURE 'A',"27,400",0,0,"27,400",CNY,"164,141.06 0.00"
BEIJING TIANTAN BIOLOGICAL PROD.'A',"31,320",0,0,"31,320",CNY,"142,315.12 0.00"
BEIJING WANTAI BIOLOGICAL 'A',0,"9,800",0,"9,800",CNY,"340,588.94 0.01"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
